Problem Size, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
1000000,101801,306.4,291.0,297.0,112.4
1000000,81720,302.8,284.2,300.0,121.8
1000000,55960,300.0,287.2,300.0,119.0
1000000,8743,287.4,287.4,293.6,112.6
1000000,117687,318.8,296.6,296.8,125.0
1000000,11780,290.6,281.2,297.0,115.8
1000000,75130,297.0,287.4,299.8,119.0
1000000,108498,309.4,287.4,296.8,112.4
1000000,69135,303.2,287.4,303.2,112.6
1000000,487,281.4,281.2,296.8,109.2
1000000,99999,300.0,287.6,300.2,125.0
1000000,115645,306.4,287.4,302.8,125.0
1000000,22399,287.4,284.8,306.2,118.6
1000000,78978,302.8,287.4,296.8,118.6
1000000,79730,309.6,281.0,296.8,115.8
1000000,78840,300.2,290.8,303.0,115.4
1000000,118682,312.6,287.2,297.0,128.0
1000000,63405,293.8,284.2,300.0,118.8
1000000,77185,297.0,290.6,296.8,112.4
1000000,99471,306.0,284.4,293.8,128.2
1000000,2531,281.2,281.0,303.0,112.4
1000000,124408,312.6,290.4,299.8,125.0
1000000,93799,297.0,284.6,300.0,121.8
1000000,20163,287.4,284.2,300.0,112.4
1000000,5556,284.4,278.0,303.2,109.4
1000000,10818,300.2,293.8,297.0,109.8
1000000,48450,300.0,281.2,296.8,118.6
1000000,26433,287.8,281.4,293.6,115.8
1000000,108302,309.4,287.6,306.2,121.8
1000000,46055,297.0,284.6,296.8,112.4
1000000,50904,300.0,281.2,290.8,122.0
1000000,120065,312.6,290.6,296.8,118.8
1000000,105230,312.4,284.2,297.0,128.0
1000000,99202,300.0,287.6,294.0,118.6
1000000,9036,284.4,284.6,293.8,109.4
1000000,41465,296.6,284.4,290.8,109.2
1000000,72915,297.0,284.2,299.8,118.8
1000000,86451,306.4,291.0,300.0,118.6
1000000,29340,296.8,287.4,296.8,118.6
1000000,36624,293.8,284.4,293.6,121.8
1000000,6913,284.6,278.0,296.8,109.4
1000000,16372,281.0,278.0,293.6,109.2
1000000,68094,361.0,345.0,384.2,165.6
1000000,115764,341.0,312.8,318.8,143.8
1000000,34543,296.8,284.4,293.8,118.8
1000000,67685,306.2,284.6,303.4,118.6
1000000,587,284.4,281.4,294.0,109.6
1000000,9641,287.6,287.6,293.8,112.4
1000000,118079,318.8,300.4,299.8,128.2
1000000,41753,296.8,281.4,296.8,118.8
1000000,115449,303.2,293.8,306.2,121.8
1000000,21341,296.8,294.0,300.0,115.4
1000000,119523,309.2,287.6,300.2,118.8
1000000,86217,299.8,284.4,303.0,118.8
1000000,21398,293.8,284.2,296.8,115.6
1000000,57484,290.8,287.6,296.8,115.6
1000000,64160,297.0,296.6,300.2,115.6
1000000,6581,287.4,297.0,296.8,122.0
1000000,30389,290.4,290.6,293.6,109.2
1000000,94829,306.2,287.6,296.6,122.0
1000000,35264,284.6,284.6,293.8,112.4
1000000,98254,300.0,297.0,297.0,115.8
1000000,70115,303.2,281.2,293.8,118.8
1000000,45090,293.6,281.0,296.8,115.6
1000000,101009,303.2,287.6,300.0,121.8
1000000,1028,274.8,290.6,287.6,109.4
1000000,1844,281.2,281.2,287.4,112.4
5000000,503409,2940.6,2869.0,1696.6,772.0
5000000,86580,3021.8,3015.6,1890.4,874.8
5000000,552443,3134.2,3015.4,1940.8,934.4
5000000,64857,3021.6,2984.4,1897.0,881.2
5000000,66957,3009.6,2971.4,1900.0,890.6
5000000,588291,3143.8,3040.2,1928.2,940.6
5000000,382248,3074.8,3006.0,1915.6,906.0
5000000,124338,3040.8,2999.6,1900.2,890.6
5000000,354639,3062.4,3012.4,1931.2,909.4
5000000,323772,3072.0,3006.2,1906.0,909.6
5000000,43138,3015.4,2978.2,1887.6,881.2
5000000,461958,3084.4,3000.0,1912.6,912.4
5000000,413235,3093.8,3006.4,1909.6,918.6
5000000,261948,3040.4,2990.6,1890.8,912.4
5000000,97985,3062.4,2993.6,1900.0,887.8
5000000,60453,3024.8,2993.8,1912.6,918.6
5000000,344894,2915.6,2853.0,1684.6,756.4
5000000,39373,2850.2,2850.2,1687.6,734.4
5000000,43034,2859.2,2837.4,1662.4,737.6
5000000,176584,2878.6,2837.4,1690.8,759.4
5000000,553416,2934.6,2875.0,1696.8,787.6
5000000,600419,2984.2,2884.6,1547.0,778.2
5000000,490923,2934.6,2884.2,1534.6,774.8
5000000,374120,2956.2,2903.2,1647.2,812.2
5000000,605698,3150.2,3053.2,1874.6,921.8
5000000,395186,3112.4,3012.4,1784.4,906.2
5000000,212048,3068.8,3031.0,1750.2,900.0
5000000,376596,3084.4,3018.6,1784.4,918.4
5000000,14654,2990.8,2990.4,1753.4,872.2
5000000,248750,3053.4,3000.0,1762.6,906.0
5000000,284360,3084.8,3009.2,1790.6,899.8
5000000,306665,3062.8,3009.6,1765.6,925.2
5000000,60685,3043.8,3018.4,1753.2,884.6
5000000,32566,3012.4,3012.6,1752.6,893.6
5000000,33104,3021.8,3006.6,1775.0,884.6
5000000,448473,3112.6,3012.6,1809.4,953.0
5000000,562163,3141.0,3031.0,1790.6,944.0
5000000,59258,3025.0,3021.8,1756.4,872.0
5000000,421410,3103.2,3015.8,1781.0,922.0
5000000,295967,3062.8,3000.2,1750.2,922.2
5000000,354215,3097.0,3021.8,1794.0,918.8
5000000,4626,3025.2,3003.0,1759.4,887.6
5000000,489503,3125.0,3031.2,1784.4,918.8
5000000,194308,3040.8,2997.2,1756.2,912.4
5000000,109635,3078.2,3024.8,1775.0,903.4
5000000,489355,3121.8,3018.6,1787.4,909.4
5000000,375946,3115.6,3018.8,1781.2,909.6
5000000,33329,3030.8,3028.6,1746.6,887.4
5000000,297985,3068.6,3006.2,1762.4,906.2
5000000,423231,3115.6,3016.0,1834.6,927.8
5000000,524152,3140.4,3047.0,1778.2,934.6
5000000,517531,3125.0,3034.4,1800.0,918.8
5000000,111313,3078.0,3118.8,1803.2,893.6
5000000,551458,3309.6,3262.4,2162.4,1068.6
5000000,330637,3543.6,3337.6,2018.8,1053.0
5000000,476325,3112.6,3037.6,1778.0,912.4
5000000,490545,3103.2,3037.4,1780.8,915.8
5000000,386740,3100.2,3018.6,1774.8,912.2
5000000,502688,3112.2,3009.4,1806.2,921.8
5000000,464347,2953.2,2869.0,1534.2,762.4
5000000,474352,3134.4,3031.0,1772.0,925.2
5000000,508789,3128.0,3065.4,1806.4,918.6
5000000,205837,3043.6,2997.0,1737.6,900.4
5000000,178180,3053.0,3015.8,1768.8,890.4
5000000,342583,3078.0,3018.8,1759.6,925.0
5000000,244780,3047.2,2993.6,1753.2,906.0
5000000,469626,3103.4,3018.8,1778.2,912.6
5000000,247352,3062.8,3006.4,1753.2,896.6
5000000,465907,3106.4,3024.6,1784.4,912.8
5000000,512294,3118.8,3022.0,1781.0,937.8
5000000,204668,3075.0,3003.0,1750.0,909.4
5000000,589375,3137.4,3025.0,1797.0,934.2
5000000,268943,3080.8,3025.0,1759.2,912.4
5000000,272911,3078.0,3012.4,1765.4,903.2
5000000,407985,3090.6,3022.0,1778.2,912.2
5000000,615093,3134.0,3037.4,1784.4,940.2
5000000,266459,3071.8,3006.0,1765.4,925.0
5000000,474880,3103.0,3025.0,1762.4,928.2
5000000,64149,3043.8,2996.8,1746.8,884.4
5000000,24742,3034.8,3009.4,1743.6,875.0
5000000,34377,3015.6,3009.4,1756.4,881.2
5000000,435641,3103.2,3021.6,1774.8,924.8
5000000,281269,3075.2,3000.2,1759.4,921.8
5000000,115208,3059.4,3018.6,1771.6,884.6
5000000,380071,3087.4,3034.2,1753.0,912.4
5000000,276826,3084.4,3009.4,1772.2,894.0
5000000,456455,3109.4,3015.8,1715.6,884.6
5000000,375318,2953.0,2903.4,1547.0,756.0
5000000,395074,2950.2,2953.2,1534.4,765.8
5000000,298786,3074.8,3043.6,1753.0,906.4
5000000,212457,3047.2,3018.6,1759.4,900.0
5000000,525832,3147.0,3037.2,1778.4,934.4
5000000,451201,3109.4,3016.0,1781.4,918.4
5000000,563432,3159.4,3043.8,1790.8,918.8
5000000,597135,3147.2,3034.2,1800.2,943.6
5000000,602827,3156.4,3034.2,1800.2,959.6
5000000,266368,3081.2,3009.2,1774.8,931.2
5000000,40815,3031.4,3012.4,1759.2,884.2
5000000,446023,3103.2,3037.6,1777.8,915.8
5000000,212313,3056.6,2996.8,1734.6,906.2
