Bound, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
50000,2972395,2.013947712E8,1.887335216E8,1.164866672E8,6.70669776E7
50000,4409120,1.924956112E8,1.86252824E8,1.461014E8,9.74119856E7
10000,14301437,1.844937344E8,4.338631344E8,1.565819504E8,1.557931328E8
10000,12448741,3.89994392E8,3.86706208E8,2.287246208E8,1.801137808E8
10000,14242665,5.189614624E8,5.14334384E8,1.565301296E8,1.5586192E8
10000,8494173,3.08874088E8,3.05529752E8,1.6760124E8,1.211764832E8
10000,17311721,3.450665024E8,5.289941152E8,1.625282512E8,1.573020272E8
10000,22030134,7.574107056E8,5.52644016E8,2.983152288E8,2.836002896E8
10000,7795810,2.903794432E8,2.8647016E8,1.69774864E8,1.187291712E8
10000,6503396,2.6689428E8,2.552244464E8,1.662344352E8,1.187006144E8
10000,8599579,3.26564872E8,3.12249688E8,1.701290672E8,1.218050016E8
10000,8950568,3.252897168E8,3.165866288E8,1.706560736E8,1.218588544E8
10000,22423489,7.860443968E8,6.938211184E8,2.984820224E8,2.835336688E8
10000,15837653,5.585238208E8,5.539589376E8,1.572651152E8,1.565080608E8
10000,19491958,5.875318944E8,5.82990272E8,1.681439584E8,1.580906352E8
10000,23244598,7.875565952E8,4.439077264E8,2.987232192E8,2.886759888E8
10000,9620868,3.930024192E8,3.913415616E8,2.25847344E8,1.774069616E8
10000,12890211,4.015751472E8,3.96976632E8,2.291617264E8,1.798507712E8
10000,5233058,1.978379248E8,1.810871136E8,1.289714528E8,8.14928944E7
10000,21198313,7.552928784E8,6.642492208E8,2.933527136E8,2.832778688E8
10000,20643633,6.171968224E8,6.13075712E8,1.684931872E8,1.584813296E8
10000,235418,8.05115232E7,7.7050456E7,5.3750464E7,3627521.6
10000,5757624,2.134772752E8,2.144664048E8,1.299964304E8,7.95652368E7
10000,12855679,4.241333504E8,3.969626208E8,2.286494736E8,1.806026768E8
10000,11707745,3.779214336E8,3.666966096E8,2.25838032E8,1.774201024E8
10000,24790376,8.256287056E8,2.97094736E7,2.99308256E8,2.889299648E8
10000,2655481,1.687867952E8,1.659980944E8,8.67972992E7,3.87289632E7
10000,11841037,3.966980064E8,3.716034976E8,2.259429344E8,1.773987696E8
