Problem Size, Solutions, BinarySearch, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
500000,6166,61.8,56.4,56.0,57.0,47.0
500000,11237,56.2,49.8,52.4,53.2,56.8
500000,58144,78.2,50.0,50.2,55.8,52.2
500000,57119,76.8,52.8,53.6,56.0,50.6
500000,58242,83.8,53.0,53.2,56.6,56.2
500000,57091,78.6,53.0,51.0,51.6,46.8
500000,60001,80.4,50.0,49.8,56.4,50.2
500000,59614,78.4,58.0,49.8,53.4,49.6
500000,31221,62.4,48.4,46.8,52.6,48.2
500000,54067,78.2,49.6,50.2,65.6,52.6
500000,44619,75.6,52.4,50.0,53.2,49.2
500000,12937,65.4,52.6,53.2,57.2,47.0
500000,23377,65.0,52.0,47.0,52.6,45.4
500000,45099,72.0,55.6,56.4,56.0,55.2
500000,4531,54.4,59.0,56.0,54.0,50.0
500000,17267,62.0,59.4,53.6,62.4,56.2
500000,1197,60.2,50.4,53.8,50.4,51.0
500000,52171,77.2,59.8,57.0,56.0,49.8
500000,29104,65.4,49.8,50.4,53.6,50.0
500000,41290,66.2,52.8,53.4,55.6,53.4
500000,22372,62.0,53.0,50.8,49.4,46.8
500000,47273,74.8,55.8,53.4,56.0,52.8
500000,41841,71.8,53.8,51.6,59.2,53.8
500000,9725,56.0,50.2,49.4,52.8,50.0
500000,13473,58.0,50.6,52.6,50.2,48.2
500000,54185,78.0,58.4,53.2,59.0,52.6
500000,48038,78.0,56.6,52.0,52.6,47.0
500000,56897,77.4,56.6,53.2,58.8,50.2
500000,8124,61.8,50.2,46.6,56.0,50.0
500000,54442,79.4,49.8,49.6,59.8,49.8
500000,32646,63.6,53.4,52.2,50.0,55.6
500000,45578,74.4,56.4,47.0,49.4,59.6
500000,33944,74.6,56.8,50.2,58.8,53.0
500000,9776,62.4,56.2,49.8,55.8,49.8
500000,14702,56.2,53.2,50.0,55.6,56.2
500000,17435,63.0,48.6,49.6,50.0,46.6
500000,26882,62.6,53.8,55.4,56.6,49.4
500000,48201,78.6,50.0,50.2,62.4,56.4
500000,45765,71.2,50.0,49.6,56.4,49.8
500000,8157,62.0,53.0,48.8,53.8,46.8
500000,57423,78.0,52.8,47.0,59.2,50.0
500000,41270,75.4,53.0,53.4,53.0,50.0
500000,12930,59.0,57.6,50.2,56.0,53.0
500000,58698,84.4,58.6,53.2,60.6,50.0
500000,20419,68.2,48.8,50.2,52.4,47.0
500000,38913,68.8,56.2,52.8,53.4,49.6
500000,61836,84.6,59.4,57.2,59.2,55.4
500000,12685,65.2,61.8,56.4,54.4,51.8
500000,45609,71.4,56.4,52.6,53.2,52.2
500000,47624,69.2,53.4,53.2,50.2,47.0
500000,29607,65.6,56.2,49.8,59.4,50.4
500000,10310,61.8,49.8,50.0,54.8,49.8
500000,6143,48.6,49.4,47.0,49.6,43.8
500000,42828,71.8,49.6,47.0,52.0,52.8
500000,48580,71.8,53.4,56.2,56.4,56.2
500000,9404,52.8,56.4,55.8,56.4,49.6
500000,29855,62.4,55.8,52.6,56.4,52.4
1000000,80476,152.6,115.6,112.2,101.0,106.4
1000000,120172,172.0,118.2,109.4,105.0,108.8
1000000,17340,125.0,111.8,112.8,102.8,99.6
1000000,123428,168.0,122.4,112.0,106.4,108.2
1000000,50312,128.8,116.2,112.6,105.6,102.4
1000000,52454,143.4,122.0,118.6,112.0,107.0
1000000,18809,121.8,112.4,113.2,109.4,102.2
1000000,108912,165.2,125.8,112.6,110.4,111.8
1000000,55228,137.6,118.4,112.0,103.6,103.2
1000000,59387,137.6,118.4,112.4,110.4,100.0
1000000,34087,134.0,113.2,115.6,109.2,102.8
1000000,63586,140.4,118.4,112.8,103.0,109.4
1000000,96748,152.4,118.6,112.6,106.2,103.8
1000000,123399,171.8,115.2,110.0,99.8,109.0
1000000,6658,111.8,111.8,113.0,111.8,100.2
1000000,86841,141.6,119.6,115.6,114.2,109.8
1000000,111524,164.2,118.2,110.0,105.8,109.6
1000000,27705,127.8,115.4,119.0,102.2,102.6
1000000,91209,153.6,117.8,112.0,106.0,106.2
1000000,43435,128.2,115.2,110.6,105.8,99.2
1000000,122764,166.8,116.6,109.2,105.6,103.8
1000000,72216,143.0,112.4,118.4,105.8,104.0
1000000,60447,153.2,137.0,118.2,121.4,127.8
1000000,14802,121.8,113.6,111.0,109.0,102.8
1000000,101660,157.4,118.8,108.4,105.8,105.0
1000000,29347,118.4,116.6,117.6,107.0,105.6
1000000,67332,149.6,119.2,115.4,103.6,106.2
1000000,112727,168.6,118.2,109.4,102.8,111.8
1000000,83733,146.6,116.2,109.2,101.0,108.0
1000000,100117,156.4,115.0,108.8,106.8,106.4
1000000,64020,135.4,118.4,112.2,105.8,106.2
1000000,23774,121.6,109.0,115.2,109.0,103.0
1000000,77655,154.4,120.0,114.8,99.8,105.6
1000000,62315,141.4,115.4,109.4,110.2,111.6
1000000,6494,109.4,108.8,115.8,110.0,99.6
1000000,91388,150.2,121.6,109.4,106.0,107.2
